CF1901,20180824,-1
AL1810,20180824,0
A1901,20180824,100
L1901,20180824,1
SR1901,20180824,-1
MA1901,20180824,1
ZN1810,20180824,1
J1901,20180824,0
RB1901,20180824,1
P1901,20180824,-1
RU1901,20180824,-1
TA1901,20180824,1
V1901,20180824,-1
Y1901,20180824,1
AL1810,20180824,0
CF1901,20180824,-1
J1901,20180824,0
L1901,20180824,1
MA1901,20180824,1
P1901,20180824,-1
RB1901,20180824,1
RU1901,20180824,-1
SR1901,20180824,-1
TA1901,20180824,1
V1901,20180824,-1
Y1901,20180824,1
ZN1810,20180824,1
AL1810,20180824,0
CF1901,20180824,-1
J1901,20180824,0
L1901,20180824,1
MA1901,20180824,1
P1901,20180824,-1
RB1901,20180824,1
RU1901,20180824,-1
SR1901,20180824,-1
TA1901,20180824,1
V1901,20180824,-1
Y1901,20180824,1
ZN1810,20180824,1
AL1810,20180824,0
CF1901,20180824,-1
J1901,20180824,0
L1901,20180824,1
MA1901,20180824,1
P1901,20180824,-1
RB1901,20180824,1
RU1901,20180824,-1
SR1901,20180824,-1
TA1901,20180824,1
V1901,20180824,-1
Y1901,20180824,1
ZN1810,20180824,1
AL1810,20180824,0
CF1901,20180824,-1
J1901,20180824,0
L1901,20180824,1
MA1901,20180824,1
P1901,20180824,-1
RB1901,20180824,1
RU1901,20180824,-1
SR1901,20180824,-1
TA1901,20180824,1
V1901,20180824,-1
Y1901,20180824,1
ZN1810,20180824,1
AL1810,20180824,0
CF1901,20180824,-1
J1901,20180824,0
L1901,20180824,1
MA1901,20180824,1
P1901,20180824,-1
RB1901,20180824,1
RU1901,20180824,-1
SR1901,20180824,-1
TA1901,20180824,1
V1901,20180824,-1
Y1901,20180824,1
ZN1810,20180824,1
AL1810,20180824,0
CF1901,20180824,-1
J1901,20180824,0
L1901,20180824,1
MA1901,20180824,1
P1901,20180824,-1
RB1901,20180824,1
RU1901,20180824,-1
SR1901,20180824,-1
TA1901,20180824,1
V1901,20180824,-1
Y1901,20180824,1
ZN1810,20180824,1
AL1810,20180824,0
CF1901,20180824,-1
J1901,20180824,0
L1901,20180824,1
MA1901,20180824,1
P1901,20180824,-1
RB1901,20180824,1
RU1901,20180824,-1
SR1901,20180824,-1
TA1901,20180824,1
V1901,20180824,-1
Y1901,20180824,1
ZN1810,20180824,1
AL1810,20180824,0
CF1901,20180824,-1
J1901,20180824,0
L1901,20180824,1
MA1901,20180824,1
P1901,20180824,-1
RB1901,20180824,1
RU1901,20180824,-1
SR1901,20180824,-1
TA1901,20180824,1
V1901,20180824,-1
Y1901,20180824,1
ZN1810,20180824,1
IF1809,20180824,-1
AL1810,20180824,0
CF1901,20180824,-1
IF1809,20180824,-1
J1901,20180824,0
L1901,20180824,1
MA1901,20180824,1
P1901,20180824,-1
RB1901,20180824,1
RU1901,20180824,-1
SR1901,20180824,-1
TA1901,20180824,1
V1901,20180824,-1
Y1901,20180824,1
ZN1810,20180824,1
AL1810,20180824,0
CF1901,20180824,-1
IF1809,20180824,-1
J1901,20180824,0
L1901,20180824,1
MA1901,20180824,1
P1901,20180824,-1
RB1901,20180824,1
RU1901,20180824,-1
SR1901,20180824,-1
TA1901,20180824,1
V1901,20180824,-1
Y1901,20180824,1
ZN1810,20180824,1
